#Parameters from JPLUS_DR1
#TILE_ID,26214
#NUMBER,16917
#ALPHA_J2000,222.0020
#DELTA_J2000,52.9054
#J0378,18.216,0.072
2458566.69590287,0.086,0.033,J0861
2458566.70482652,0.123,0.036,J0861
2458604.59632340,-0.061,0.065,J0861
2458604.60524680,0.074,0.035,J0861
2458604.61419334,-0.011,0.031,J0861
2458609.52215843,0.096,0.026,J0861
2458609.53108180,0.070,0.035,J0861
2458609.54000517,0.047,0.029,J0861
2458614.41822295,0.007,0.024,J0861
2458614.42716944,0.000,0.033,J0861
2458614.43610436,-0.099,0.021,J0861
2458616.42524535,0.016,0.039,J0861
2458616.43418026,0.019,0.033,J0861
2458616.44312674,-0.061,0.034,J0861
